銘柄コード,銘柄名,終値,移動平均線乖離率25日,移動平均線乖離率75日,PER,PBR,経常成長率,EPS成長率,時価総額,決算発表予定日,経常利益1,経常利益2,経常利益3,EPS1,EPS2,EPS3
3905,データセクション,"7,897円",13.65%,23.51%,－,2.76,-94.74,-143.75,76.5億円,2020/8/14,95,5,－,3.2,-1.4,－
3919,パイプドＨＤ,"18,150円",-3.05%,-5.90%,20.2,2.91,118.97,179.98,115億円,-,390,"1,402","1,100",18.5,89.1,69.8
3930,はてな,"18,150円",-6.05%,-7.87%,32.3,3.08,-1.03,-1.9,63.6億円,2020/9/11,335,449,287,82.3,113.7,66
3937,Ｕｂｉｃｏｍ,626円,-5.03%,-5.03%,40.7,11.1,19.23,27.03,246億円,2020/8/13,591,715,840,32.6,46.2,51.9
3960,バリューデザイン,"5,960円",11.18%,20.54%,"5,238",6.51,-189.38,-324.47,52.3億円,2020/8/14,64,-80,43,22.8,-102.2,0.7
3969,エイトレッド,"10,160円",2.03%,4.58%,32.8,5.28,15.39,13.57,143億円,-,489,588,650,45.5,55.3,58.4
3984,ユーザーローカル,"12,200円",-11.52%,-16.31%,61.5,7.81,20.63,20.92,310億円,2020/8/7,529,658,769,44.1,55.2,64.4
3991,ウォンテッドリー,834円,7.86%,5.72%,89.6,11.52,27.27,12.49,112億円,-,177,294,260,11.3,15.9,13.4
3994,マネーフォワード,569円,-5.24%,2.28%,－,17.21,116.56,96.19,"1,810億円",-,-824,"-2,567","-3,121",-42.3,-117.9,-134
3996,サインポスト,"4,425円",2.27%,0.60%,－,17.84,-47.9,-88.98,149億円,-,269,-207,-375,19.9,-24.1,-34.5
3998,すららネット,"4,750円",-2.48%,-4.60%,127,23.91,132.27,136.04,246億円,-,223,65,283,21.9,6.9,30.4
4307,野村総合研究所,"1,170円",9.26%,29.93%,27.7,5.82,8.06,20.95,"1兆7,519億円",-,"72,409","84,528","84,000",72.1,109.3,98.7
4308,Ｊストリーム,"12,600円",-4.86%,-6.94%,68.3,9.81,68.16,80.28,478億円,-,319,562,900,16.8,21.4,49.9
4344,ソースネクスト,"3,695円",-0.72%,-5.00%,83,2.88,-14.47,11.14,345億円,2020/8/6,905,537,600,4.6,1.6,3
4356,応用技術,"1,005円",2.10%,7.05%,17.2,2.71,46,50.82,75.5億円,2020/8/7,335,657,630,79.1,165.1,153.4
4390,アイ・ピー・エス,656円,-2.01%,14.37%,23.5,6.36,30.44,32.79,247億円,2020/8/14,"1,001","1,075","1,650",50.6,52.4,84.9
4395,アクリート,566円,-0.64%,-11.55%,19.8,3.79,16.32,10.65,40.5億円,2020/8/14,222,249,300,30.2,31.1,36.8
4396,システムサポート,"5,390円",-2.99%,-1.21%,46.2,8.36,33.95,17.58,187億円,2020/8/12,368,504,660,29.1,35.2,40.2
4398,ＢＢＳｅｃ,"2,424円",4.13%,15.89%,45,10.55,144.93,106.34,109億円,2020/8/13,154,73,323,49.9,15.6,59.5
4425,Ｋｕｄａｎ,443円,-4.59%,-11.57%,－,19.87,-111.65,-127.45,272億円,2020/8/7,103,-12,－,15.3,-4.2,－
4427,ＥｄｕＬａｂ,"2,053円",6.69%,20.78%,46.5,7.23,31.78,-1.89,518億円,2020/8/7,904,"1,190","1,570",146.1,93.3,123.5
4434,サーバーワークス,"4,130円",-4.36%,-12.70%,154,14.86,13.43,-15.3,472億円,-,335,421,426,124.2,99,88.8
4436,ミンカブ,"1,652円",11.26%,50.57%,45.8,6.78,88.61,31.09,229億円,2020/8/4,208,504,680,22,34.4,36.4
4439,東名,"7,510円",-3.86%,-1.08%,16.5,2.21,44.81,-5.33,97.8億円,-,416,654,866,91.8,76.5,81.1
4443,Ｓａｎｓａｎ,"2,587円",19.05%,52.01%,－,14.8,-148.82,-127.23,"1,560億円",-,-891,435,－,-40.4,11,－
4452,花王,"10,250円",-6.24%,-14.77%,28.3,4.38,-4.32,-5.77,"3兆8,064億円",-,"207,251","210,645","189,000",314.2,306.7,278.6
4476,ＡＩ　ＣＲＯＳＳ,"1,122円",4.78%,0.90%,58.4,7.65,47.41,16.63,79.2億円,2020/8/14,95,170,197,26.1,35.8,34.4
4478,フリー,"2,298円",-6.32%,0.49%,－,18.02,-3.22,-15.73,"2,556億円",2020/8/12,"-3,399","-2,850","-3,127",-92.9,-68.3,-64.9
4576,ＤＷセラピ研,533.7円,-3.07%,-14.31%,－,7.45,-294.92,-235.42,101億円,2020/8/13,-796,109,-410,-28.5,5.1,-12.9
4578,大塚ホールディングス,"2,537円",-3.12%,-2.39%,17.3,1.43,36.86,36.02,"2兆6,620億円",2020/8/7,"109,497","173,515","200,000",152.2,234.6,276.6
